,, x     double           x²/5
,, Test multi-character comments, similar to delimiters
0.5000000000000000,1.0000000000000000,0.0500000000000000
1.5555555555555556,3.1111111111111112,0.4839506172839506
2.6111111111111112,5.2222222222222223,1.3635802469135803
3.6666666666666670,7.3333333333333339,2.6888888888888891
4.7222222222222223,9.4444444444444446,4.4598765432098766
5.7777777777777777,11.555555555555555,6.6765432098765434
6.8333333333333339,13.666666666666668,9.3388888888888903
7.8888888888888893,15.777777777777779,12.446913580246916
8.9444444444444446,17.888888888888889,16.000617283950618
10.000000000000000,20.000000000000000,20.000000000000000

